ZPID,Street,Unit,City,State,Zipcode,Type,Price,HOA Fee,Zestimate,Rent Zestimate,Days On Zillow,Bedrooms,Bathrooms,Living Area,Year Built,lotSize
15629006,525 Almer Rd APT 307,307,Burlingame,CA,94010,CONDO,1115000,42,1150896,3600,,2,2,1288,1975,47001
15539976,504 Dale View Ave,,Belmont,CA,94002,SINGLE_FAMILY,1500000,,1541087,4150,,3,2,1300,1953,5330
15628130,234 Elm St APT 302,302,San Mateo,CA,94401,SINGLE_FAMILY,1040000,655,1089727,3700,,3,2,1723,1964,40833
15641533,904 Peninsula Ave APT 412,412,San Mateo,CA,94401,CONDO,3200,583,,3365,,2,2,1204,1965,1114920
15526342,817 Oregon Ave,,San Mateo,CA,94402,SINGLE_FAMILY,2760000,,2781225,6500,,4,3,2200,1941,5998
15633123,111 W 3rd Ave,,San Mateo,CA,94402,CONDO,1300000,950,1365370,4400,,2,2,1868,1988,36479
15613664,742 Aries Ln,,Foster City,CA,94404,SINGLE_FAMILY,1575000,395,1611395,4450,,4,3,1920,1973,2199
15641159,833 N Humboldt St APT 107,107,San Mateo,CA,94401,CONDO,630000,458,648111,2450,,1,1,693,1965,1114920
64940228,1605 De Anza Blvd,,San Mateo,CA,94403,SINGLE_FAMILY,5150,63,1895995,4900,,4,2.5,2290,1983,3049
15549007,820 Alameda De Las Pulgas,,Belmont,CA,94002,SINGLE_FAMILY,1760000,,1805625,4700,,5,3,2520,1936,8250
15633853,720 Promontory Point Ln APT 2309,2309,Foster City,CA,94404,CONDO,1160000,1000,1167810,4700,,3,3,2264,1990,
15548143,1510 Williams Ave,,Belmont,CA,94002,SINGLE_FAMILY,1925000,,1969483,4590,,3,3,1850,1957,5000
82950200,20 Madison Ave APT 102,102,San Mateo,CA,94402,CONDO,4500,,,3850,,2,2,1216,2007,18867
15535372,48 Southdown Ct,,Hillsborough,CA,94010,SINGLE_FAMILY,5100000,,5249611,12443,,4,4.5,4830,1994,22603
15627211,1951 Ofarrell St APT 308,308,San Mateo,CA,94403,CONDO,935000,428,987704,3400,,2,2,1195,1997,109155
